,college,state,city,average_costs,graduation_rate,salary_after_attending,students
0,Colorado School of Mines,CO,Golden,27013.0,77.0,84900.0,4564.0
1,Georgia Institute of Technology-Main Campus,GA,Atlanta,11639.0,86.0,79100.0,14766.0
2,Missouri University of Science and Technology,MO,Rolla,14303.0,65.0,71200.0,6857.0
3,New Jersey Institute of Technology,NJ,Newark,18544.0,61.0,68500.0,7336.0
4,California Polytechnic State University-San Luis Obispo,CA,San Luis Obispo,18845.0,78.0,66900.0,20367.0
5,Michigan Technological University,MI,Houghton,14638.0,66.0,66400.0,5739.0
6,University of California-Berkeley,CA,Berkeley,14468.0,92.0,64700.0,29309.0
7,University of Michigan-Ann Arbor,MI,Ann Arbor,14897.0,91.0,63400.0,28761.0
8,University of Maryland-College Park,MD,College Park,16928.0,86.0,62900.0,27864.0
9,Virginia Polytechnic Institute and State University,VA,Blacksburg,19413.0,84.0,62500.0,25725.0
10,Augusta University,GA,Augusta,13467.0,28.0,62300.0,4860.0
11,Binghamton University,NY,Vestal,17870.0,82.0,61600.0,13578.0
12,University of Illinois at Urbana-Champaign,IL,Champaign,18243.0,85.0,61500.0,32752.0
13,University of Virginia-Main Campus,VA,Charlottesville,19177.0,94.0,61200.0,15963.0
14,University of California-Los Angeles,CA,Los Angeles,13572.0,91.0,60700.0,30859.0
15,University of California-San Diego,CA,La Jolla,14775.0,87.0,59900.0,28121.0
16,George Mason University,VA,Fairfax,19479.0,70.0,59900.0,23179.0
17,The College of New Jersey,NJ,Ewing,26581.0,86.0,58500.0,6666.0
18,College of William and Mary,VA,Williamsburg,19089.0,91.0,58500.0,6245.0
19,University of Connecticut-Waterbury Campus,CT,Waterbury,8600.0,58.0,58400.0,2010.0
20,University of Connecticut,CT,Storrs,21223.0,83.0,58400.0,19030.0
21,University of California-Irvine,CA,Irvine,13712.0,88.0,58400.0,27317.0
22,University of California-Davis,CA,Davis,15309.0,85.0,58200.0,29358.0
23,The University of Texas at Austin,TX,Austin,18422.0,80.0,58200.0,39676.0
24,University of Baltimore,MD,Baltimore,16300.0,34.0,58000.0,3186.0
25,Texas A & M University-College Station,TX,College Station,15440.0,80.0,58000.0,50416.0
26,Rutgers University-Camden,NJ,Camden,15705.0,58.0,57900.0,4960.0
27,Rutgers University-New Brunswick,NJ,New Brunswick,20166.0,80.0,57900.0,35782.0
28,Rutgers University-Newark,NJ,Newark,12360.0,67.0,57900.0,7691.0
29,University of Washington-Seattle Campus,WA,Seattle,12957.0,84.0,57700.0,29831.0
30,University of Washington-Bothell Campus,WA,Bothell,11121.0,68.0,57700.0,5078.0
31,University of Washington-Tacoma Campus,WA,Tacoma,8829.0,61.0,57700.0,4252.0
32,Stony Brook University,NY,Stony Brook,13467.0,70.0,57600.0,16863.0
33,CUNY Bernard M Baruch College,NY,New York,7193.0,68.0,57200.0,14858.0
34,University of Delaware,DE,Newark,16736.0,80.0,57000.0,18510.0
35,Citadel Military College of South Carolina,SC,Charleston,18430.0,68.0,56800.0,2693.0
