,INSTNM,CITY,STABBR,HCM2,PREDDEG,HIGHDEG,CONTROL,LOCALE,HBCU,PBI,ANNHI,TRIBAL,AANAPII,HSI,NANTI,MENONLY,WOMENONLY,RELAFFIL,SATVR25,SATVR75,SATMT25,SATMT75,SATWR25,SATWR75,SATVRMID,SATMTMID,SATWRMID,ACTCM25,ACTCM75,ACTEN25,ACTEN75,ACTMT25,ACTMT75,ACTWR25,ACTWR75,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,SAT_AVG_ALL,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54,DISTANCEONLY,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,PPTUG_EF,CURROPER,NPT4_PUB,NPT4_PRIV,NPT41_PUB,NPT42_PUB,NPT43_PUB,NPT44_PUB,NPT45_PUB,NPT41_PRIV,NPT42_PRIV,NPT43_PRIV,NPT44_PRIV,NPT45_PRIV,PCTPELL,RET_FT4_POOLED_SUPP,RET_FTL4_POOLED_SUPP,RET_PT4_POOLED_SUPP,RET_PTL4_POOLED_SUPP,PCTFLOAN,UG25ABV,MD_EARN_WNE_P10,GT_25K_P6,GT_28K_P6,GRAD_DEBT_MDN_SUPP,GRAD_DEBT_MDN10YR_SUPP,RPY_3YR_RT_SUPP,C150_L4_POOLED_SUPP,C150_4_POOLED_SUPP
13,South University-Montgomery,Montgomery,AL,0,3,4,3,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0481,0.0,0.0,0.0,0.0,0.0,0.0,0.0962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7019,0.1058,0.0,0.0,394.0,0.297,0.6447,0.0203,0.0102,0.0025,0.0102,0.0,0.0,0.0152,0.3959,1,,20830.0,,,,,,20556.0,17791.0,,26892.0,26892.0,0.6696,0.3469,,,,0.7087,0.6109,33400.0,0.58,0.478,25000.0,265.77520019642003,0.2547585843,,0.0714
18,New Beginning College of Cosmetology,Albertville,AL,0,1,1,3,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0.878,0.0122,0.1098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,8781.0,,,,,,8504.0,8880.0,11613.0,10149.0,9707.0,0.3409,,0.8545,,,0.4545,0.2747,,,,5900.0,62.7229472463552,0.4205607477,0.7338,
22,Herzing University-Birmingham,Birmingham,AL,0,1,4,3,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0171,0.0,0.0,0.0,0.0114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9429,0.0229,0.0,0.0,481.0,0.34299999999999997,0.5156,0.0125,0.0021,0.0042,0.0,0.0582,0.0,0.0644,0.6237,1,,21154.0,,,,,,22471.0,20078.0,20808.0,20048.0,19195.0,0.525,,,,,0.7083,0.7147,37800.0,0.5660000000000001,0.49700000000000005,23139.5,245.996209797802,0.3041105434,,0.3111
67,Charter College,Vancouver,WA,0,1,4,3,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.027000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0304,0.0,0.0,0.0045,0.0647,0.0731,0.0,0.0,0.6687,0.1018,0.0,0.0,2641.0,0.4089,0.0613,0.2791,0.0023,0.0931,0.055999999999999994,0.0488,0.0,0.0504,0.0,1,,26830.0,,,,,,26407.0,26372.0,28127.0,29683.0,28214.0,0.6214,0.4743,,,,0.705,0.6233,39800.0,0.5529999999999999,0.494,14875.0,158.13624411687,0.3047679059,,0.4678
68,Alaska Career College,Anchorage,AK,0,1,2,3,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0337,0.0,0.7879,0.1785,0.0,0.0,424.0,0.3632,0.125,0.1014,0.2193,0.158,0.0024,0.0142,0.0024,0.0142,0.0,1,,17098.0,,,,,,16802.0,18315.0,,,,0.7392,,0.7298,,,0.7901,0.5503,31200.0,0.495,0.45899999999999996,8437.0,89.6938145622879,0.4457236842,0.7086,
69,Empire Beauty School-Tucson,Tucson,AZ,0,1,1,3,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.1923,0.0673,0.4904,0.0,0.0385,0.0096,0.125,0.0,0.0769,0.3173,1,,12461.0,,,,,,12482.0,12497.0,11822.0,,,0.7529,,0.6274,,0.5135,0.6667,0.4609,20300.0,0.315,0.27399999999999997,11766.0,125.084440220443,0.2879914984,0.4808,
71,American Institute of Trucking,Phoenix,AZ,0,1,1,3,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,274.0,0.43799999999999994,0.2409,0.2044,0.0,0.0109,0.0,0.0766,0.0,0.0292,0.0,1,,17904.0,,,,,,17701.0,17991.0,,19319.0,19485.0,0.3985,,,,,0.6678,0.8796,33400.0,0.5329999999999999,0.528,6002.0,63.807310063156606,0.4192562404,0.4658,
72,Carrington College-Phoenix North,Phoenix,AZ,0,1,2,3,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,653.0,0.242,0.0735,0.5712,0.0092,0.0689,0.0061,0.0138,0.0,0.0153,0.0,1,,19382.0,,,,,,19324.0,18637.0,21007.0,23343.0,,0.772,,0.7212,,,0.5699,0.2899,25400.0,0.489,0.435,9500.0,100.994576074639,0.3293361884,0.672,
73,Carrington College-Mesa,Mesa,AZ,0,1,2,3,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,599.0,0.3923,0.0651,0.3706,0.0167,0.1235,0.0083,0.0234,0.0,0.0,0.0568,1,,18166.0,,,,,,17933.0,18391.0,15860.0,23180.0,23180.0,0.6528,,0.6824,,,0.4896,0.4329,25400.0,0.489,0.435,9500.0,100.994576074639,0.3293361884,0.7059,
74,Carrington College-Tucson,Tucson,AZ,0,1,1,3,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,308.0,0.2305,0.0455,0.6396,0.0097,0.0552,0.0,0.013000000000000001,0.0,0.0065,0.0,1,,17493.0,,,,,,17305.0,16557.0,20630.0,22237.0,22237.0,0.7431,,0.7324,,,0.519,0.3221,25400.0,0.489,0.435,9500.0,100.994576074639,0.3293361884,0.7195,
